                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.0338,                 0.5636,                 1.0149,                0.98459,                0.90754,                0.95681,                  0.698,                0.90134,                 0.4991,                0.97698,             0.00059429,             0.00059429,             0.00059429
                     68,                  1.011,                0.56277,                  1.011,                0.97542,                0.89524,                0.95212,                0.71925,                0.89837,                0.49415,                 0.9738,             0.00057778,             0.00057778,             0.00057778
                     69,                0.98951,                0.52632,                0.98408,                0.96274,                0.92285,                 0.9579,                0.73023,                0.88169,                0.47287,                 0.9712,             0.00056128,             0.00056128,             0.00056128
                     70,                0.96393,                0.52309,                0.99352,                0.97737,                0.92392,                0.96274,                0.71475,                0.90669,                0.48776,                0.97952,             0.00054478,             0.00054478,             0.00054478
                     71,                0.97724,                0.53532,                 1.0142,                0.96945,                 0.9185,                0.95862,                0.72609,                0.87611,                0.47438,                0.96891,             0.00052827,             0.00052827,             0.00052827
                     72,                0.95249,                0.53103,                0.97757,                0.98127,                0.89941,                0.95126,                0.71286,                0.90662,                 0.4759,                0.97625,             0.00051177,             0.00051177,             0.00051177
                     73,                0.96417,                0.52728,                0.99781,                 0.9768,                0.91361,                0.95788,                0.73419,                0.87814,                0.47256,                0.96975,             0.00049527,             0.00049527,             0.00049527
                     74,                 0.9801,                0.53627,                 1.0166,                0.97937,                0.91274,                0.96002,                0.72146,                0.89919,                0.47636,                0.97249,             0.00047876,             0.00047876,             0.00047876
                     75,                0.94259,                0.53276,                 1.0076,                0.97315,                0.90959,                0.95958,                0.71902,                0.90393,                0.48187,                 0.9713,             0.00046226,             0.00046226,             0.00046226
                     76,                 0.9526,                 0.5052,                0.98641,                 0.9861,                0.91461,                0.95507,                0.73042,                0.86435,                0.46415,                0.95927,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.0045,                0.53174,                  1.019,                0.99063,                0.91533,                0.95792,                0.73929,                0.85474,                 0.4571,                0.95874,             0.00042925,             0.00042925,             0.00042925
                     78,                0.98032,                0.52148,                 1.0018,                0.97934,                0.92096,                0.96435,                0.73264,                0.86909,                0.45533,                0.96076,             0.00041275,             0.00041275,             0.00041275
                     79,                0.96989,                0.50588,                0.98562,                0.98424,                0.91659,                0.95631,                0.72429,                0.86923,                 0.4624,                0.96228,             0.00039625,             0.00039625,             0.00039625
                     80,                0.95813,                0.50843,                0.98803,                0.97413,                0.92461,                0.96097,                0.73624,                0.85664,                0.45203,                0.95774,             0.00037974,             0.00037974,             0.00037974
                     81,                0.89777,                0.49464,                0.97271,                0.97885,                 0.9203,                0.96001,                0.74195,                0.84213,                0.44565,                0.95623,             0.00036324,             0.00036324,             0.00036324
                     82,                0.93488,                0.49629,                0.98009,                 0.9762,                0.91805,                0.96579,                0.74039,                0.85146,                0.44869,                0.95684,             0.00034674,             0.00034674,             0.00034674
                     83,                0.92706,                0.51967,                 1.0042,                0.97472,                0.92861,                0.96376,                0.73971,                0.83617,                0.44549,                0.95263,             0.00033023,             0.00033023,             0.00033023
                     84,                0.94533,                0.51113,                0.96997,                0.99085,                0.91666,                0.96437,                0.74226,                0.85308,                0.44755,                0.95891,             0.00031373,             0.00031373,             0.00031373
