,distance,width,height,diagonal
142,56.0,0.10416666666666667,0.09659090909090909,113.7013632
144,56.0,0.1056338028169014,0.09770114942528736,112.2942563
146,55.0,0.10273972602739725,0.09659090909090909,114.3372205
148,53.0,0.09868421052631579,0.09340659340659341,118.56222
150,53.0,0.1,0.0913978494623656,119.4738465
152,53.0,0.09868421052631579,0.09239130434782608,119.3314711
154,52.0,0.09868421052631579,0.0913978494623656,120.1041215
156,52.0,0.09740259740259741,0.0913978494623656,120.7393888
158,49.0,0.08928571428571429,0.08762886597938144,128.3160161
160,49.0,0.09036144578313253,0.08673469387755102,128.4250754
162,49.0,0.09146341463414634,0.08585858585858586,128.5496013
164,49.0,0.09036144578313253,0.08585858585858586,129.1897829
166,49.0,0.09036144578313253,0.08585858585858586,129.1897829
168,48.0,0.09375,0.08762886597938144,125.7338459
170,48.0,0.09036144578313253,0.085,129.9576854
172,47.0,0.08823529411764706,0.08333333333333333,132.7742445
174,47.0,0.08823529411764706,0.0825242718446602,133.5440002
176,48.0,0.08620689655172414,0.0825242718446602,134.8258136
178,48.0,0.08522727272727272,0.08173076923076923,136.2350909
180,44.0,0.08426966292134831,0.08173076923076923,136.8831619
182,41.0,0.0797872340425532,0.07727272727272727,144.692778
184,41.0,0.0797872340425532,0.07657657657657657,145.4544602
186,41.0,0.07894736842105263,0.07657657657657657,146.1027036
188,41.0,0.07894736842105263,0.07589285714285714,146.8638826
190,40.0,0.07894736842105263,0.07589285714285714,146.8638826
192,40.0,0.07894736842105263,0.0752212389380531,147.6279106
194,39.0,0.07894736842105263,0.07456140350877193,148.3947438
196,39.0,0.07731958762886598,0.07327586206896551,151.211772
198,39.0,0.07653061224489796,0.07264957264957266,152.6204442
200,37.0,0.075,0.07142857142857142,155.4380906
202,34.0,0.07075471698113207,0.06854838709677419,163.1318485
204,34.0,0.07075471698113207,0.06854838709677419,163.1318485
206,33.0,0.07075471698113207,0.068,163.8932579
208,33.0,0.07075471698113207,0.06746031746031746,164.6572197
210,33.0,0.07009345794392523,0.06640625,166.8322511
212,33.0,0.06944444444444445,0.06692913385826772,166.7123271
214,32.0,0.06818181818181818,0.06640625,168.7720356
216,32.0,0.06696428571428571,0.06538461538461539,171.5925406
218,27.0,0.0635593220338983,0.06204379562043796,180.8120571
220,25.0,0.06465517241379311,0.06296296296296296,177.9915728
222,30.0,0.06465517241379311,0.06296296296296296,177.9915728
224,30.0,0.06465517241379311,0.06343283582089553,177.2343082
226,31.0,0.06465517241379311,0.06343283582089553,177.2343082
228,31.0,0.0635593220338983,0.0625,180.055547
230,30.0,0.0635593220338983,0.06204379562043796,180.8120571
232,30.0,0.0625,0.06159420289855073,182.8770078
234,29.0,0.0625,0.060714285714285714,184.3908891
236,29.0,0.06147540983606557,0.05985915492957746,187.2111108
238,21.0,0.05725190839694656,0.05782312925170068,196.9009903
240,21.0,0.05813953488372093,0.057432432432432436,196.3288058
242,21.0,0.057692307692307696,0.05704697986577181,197.7397279
244,21.0,0.057692307692307696,0.056291390728476824,199.2510979
246,21.0,0.05725190839694656,0.056666666666666664,199.1506967
248,19.0,0.05555555555555555,0.05519480519480519,204.7950195
250,100.0,0.19736842105263158,0.17708333333333334,61.22091146
252,56.0,0.10273972602739725,0.09659090909090909,114.3372205
254,55.0,0.10416666666666667,0.09659090909090909,113.7013632
256,55.0,0.10273972602739725,0.09659090909090909,114.3372205
258,55.0,0.10416666666666667,0.09550561797752809,114.4770719
260,55.0,0.1056338028169014,0.09659090909090909,113.0707743
262,55.0,0.10416666666666667,0.09659090909090909,113.7013632
264,54.0,0.10273972602739725,0.09550561797752809,115.1086443
266,54.0,0.10273972602739725,0.09444444444444444,115.8835623
268,53.0,0.1,0.09340659340659341,117.9237041
270,53.0,0.09740259740259741,0.09239130434782608,119.9708298
272,53.0,0.09615384615384616,0.0913978494623656,121.3795699
274,52.0,0.0949367088607595,0.0913978494623656,122.0245877
276,52.0,0.09615384615384616,0.08854166666666667,123.6931688
278,49.0,0.09036144578313253,0.08585858585858586,129.1897829
280,47.0,0.09146341463414634,0.08415841584158416,130.0961183
282,47.0,0.09146341463414634,0.08415841584158416,130.0961183
284,47.0,0.09036144578313253,0.08415841584158416,130.7287268
286,47.0,0.09036144578313253,0.08415841584158416,130.7287268
288,47.0,0.08928571428571429,0.0825242718446602,132.9097438
290,46.0,0.08620689655172414,0.0825242718446602,134.8258136
292,46.0,0.08620689655172414,0.08173076923076923,135.5912977
294,44.0,0.08426966292134831,0.08018867924528301,138.4088147
296,44.0,0.08426966292134831,0.08018867924528301,138.4088147
298,44.0,0.08426966292134831,0.08018867924528301,138.4088147
300,40.0,0.08333333333333333,0.0779816513761468,141.3541651
