Have Passed,C to Chick,W,H,Diagonal
0.79358,25.6897712,188,11.5,188.3514003
,,,,
0.79415,25.6897712,187,11.5,187.3532759
,,,,
0.79782,25.6897712,188,11.5,188.3514003
,,,,
0.80926,24.56563707,198,11.5,198.3336835
,,,,
0.80939,24.56563707,199,11.5,199.3320095
,,,,
0.80939,24.56563707,200,11.5,200.3303522
,,,,
0.8172,24.56563707,204,11.5,204.323885
,,,,
0.8172,24.56563707,205,11.5,205.3223076
,,,,
0.82325,24.56563707,210,11.5,210.3146452
